,District_Number,Area,Belongs_To,Eligible_First_Votes_Final,Eligible_Second_Votes_Final,Voters_First_Votes_Final,Voters_Second_Votes_Final,Invalid_First_Votes_Final,Invalid_Second_Votes_Final,Valid_First_Votes_Final,Valid_Second_Votes_Final,CDU_First_Votes_Final,CDU_Second_Votes_Final,SPD_First_Votes_Final,SPD_Second_Votes_Final,AfD_First_Votes_Final,AfD_Second_Votes_Final,FDP_First_Votes_Final,FDP_Second_Votes_Final,Left_First_Votes_Final,Left_Second_Votes_Final,Greens_First_Votes_Final,Greens_Second_Votes_Final,CSU_First_Votes_Final,CSU_Second_Votes_Final,FW_First_Votes_Final,FW_Second_Votes_Final
285,286,Schwarzwald-Baar,8,162800.0,162800.0,122862.0,122862.0,1370.0,1340.0,121492.0,121522.0,44188.0,32309.0,21996.0,25814.0,12795.0,13097.0,16747.0,19696.0,2757.0,3062.0,14692.0,16181.0,,,3306.0,2390.0
286,287,Konstanz,8,206009.0,206009.0,157563.0,157563.0,1277.0,1163.0,156286.0,156400.0,53362.0,36209.0,31486.0,32657.0,13487.0,13341.0,17047.0,23509.0,5591.0,5804.0,28142.0,32913.0,,,2809.0,2204.0
287,288,Waldshut,8,177275.0,177275.0,136195.0,136195.0,1318.0,1173.0,134877.0,135022.0,45335.0,35595.0,34449.0,30782.0,11420.0,11265.0,10217.0,18422.0,3606.0,3895.0,20679.0,23294.0,,,3482.0,2534.0
288,289,Reutlingen,8,199189.0,199189.0,153820.0,153820.0,1343.0,1245.0,152477.0,152575.0,49631.0,39504.0,27236.0,31535.0,15356.0,15652.0,20411.0,25288.0,6169.0,5081.0,25399.0,24197.0,,,3139.0,2434.0
289,290,Tübingen,8,198791.0,198791.0,160835.0,160835.0,1207.0,1054.0,159628.0,159781.0,43024.0,34775.0,28982.0,32576.0,12484.0,12548.0,15059.0,22678.0,7526.0,8231.0,40978.0,37424.0,,,2789.0,1978.0
290,291,Ulm,8,223376.0,223376.0,177537.0,177537.0,1539.0,1372.0,175998.0,176165.0,57608.0,46805.0,32176.0,36418.0,15932.0,16046.0,19745.0,25389.0,4604.0,5377.0,33012.0,31238.0,,,4961.0,3808.0
291,292,Biberach,8,169147.0,169147.0,133345.0,133345.0,1174.0,1115.0,132171.0,132230.0,46458.0,40472.0,24567.0,23152.0,13469.0,14308.0,13045.0,19163.0,2064.0,2967.0,17912.0,18070.0,,,4431.0,4155.0
292,293,Bodensee,8,174430.0,174430.0,137838.0,137838.0,1083.0,990.0,136755.0,136848.0,41624.0,36571.0,28501.0,26989.0,12584.0,11916.0,16751.0,21611.0,3705.0,3905.0,23385.0,23635.0,,,3047.0,2526.0
293,294,Ravensburg,8,187817.0,187817.0,147020.0,147020.0,1080.0,1042.0,145940.0,145978.0,44597.0,38927.0,20128.0,27750.0,11727.0,12650.0,20934.0,21740.0,4365.0,4735.0,30743.0,25536.0,,,4441.0,3751.0
294,295,Zollernalb – Sigmaringen,8,182648.0,182648.0,138084.0,138084.0,1688.0,1544.0,136396.0,136540.0,41106.0,39332.0,24970.0,26716.0,15554.0,16477.0,18678.0,23200.0,2848.0,3540.0,23118.0,15503.0,,,3359.0,2617.0
295,296,Saarbrücken,10,192929.0,192929.0,142697.0,142697.0,2299.0,2223.0,140398.0,140474.0,35252.0,28797.0,51749.0,53537.0,12569.0,13006.0,11647.0,16438.0,8711.0,13484.0,11143.0,,,,2604.0,2191.0
296,297,Saarlouis,10,203279.0,203279.0,159170.0,159170.0,3047.0,2891.0,156123.0,156279.0,43671.0,38085.0,57354.0,56920.0,15111.0,15651.0,12777.0,18872.0,8405.0,10512.0,7383.0,,,,4352.0,3315.0
297,298,St. Wendel,10,173074.0,173074.0,139808.0,139808.0,2828.0,2776.0,136980.0,137032.0,43928.0,36248.0,48135.0,51229.0,12346.0,12904.0,11354.0,14916.0,5783.0,7887.0,5739.0,,,,3562.0,2881.0
298,299,Homburg,10,185941.0,185941.0,142288.0,142288.0,2676.0,2405.0,139612.0,139883.0,36472.0,32004.0,51091.0,52091.0,16210.0,16068.0,11015.0,15719.0,7312.0,9247.0,6826.0,,,,4418.0,3359.0
